"HEADER","POST","ClientAccountID","CurrencyPrimary","AssetClass","Symbol","Description","Quantity","MarkPrice","PositionValue","CostBasisPrice","CostBasisMoney"
"HEADER","TRNT","ClientAccountID","CurrencyPrimary","AssetClass","Symbol","Description","TradeDate","Quantity","Proceeds","IBCommission","NetCash","CostBasis","FifoPnlRealized","OrigTradePrice","Buy/Sell"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-08","1","-0.0665","-3","-3.0665","3.0665","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-09","6011","-399.7315","-3","-402.7315","402.7315","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-09","34961","-2377.348","-3","-2380.348","2380.348","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-09","97391","-6622.588","-1.499968","-6624.087968","6624.087968","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-14","-2150","142.975","-3","139.975","-147.047534","-7.072533","0","SELL"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-14","-10000","660","0","660","-676.661167","-16.661167","0","SELL"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-14","-50000","3250","0","3250","-3402.799457","-152.799457","0","SELL"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-15","-4750","289.75","-3","286.75","-323.073157","-36.323157","0","SELL"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-15","-13727","837.347","0","837.347","-933.647416","-96.300416","0","SELL"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-15","-20282","1237.202","0","1237.202","-1379.488373","-142.286373","0","SELL"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-15","-33357","2034.777","0","2034.777","-2268.789748","-234.012748","0","SELL"
"DATA","TRNT","U17419949","GBP","STK","BOR","BORDERS & SOUTHERN PETROLEUM","2025-07-15","-4098","249.978","0","249.978","-278.727115","-28.749115","0","SELL"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-03-06","159","-672.57","-3","-678.93285","678.93285","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-03-06","384","-1624.32","0","-1632.4416","1632.4416","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-03-06","2447","-10350.81","-3.32385","-10405.8879","10405.8879","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-03-06","300","-1269","-0.6345","-1275.9795","1275.9795","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-03-06","513","-2169.99","-1.084995","-2181.924945","2181.924945","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-03-06","53","-224.19","-0.112095","-225.423045","225.423045","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-03-06","56","-236.88","-0.11844","-238.18284","238.18284","0","0","BUY"
