Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers (U.K.) Limited
Statement,Data,BrokerAddress,"20 Fenchurch Street, Floor 12, London EC3M 3BY, UK. Authorised and regulated by the Financial Conduct Authority"
Statement,Data,Title,Realized Summary
Statement,Data,Period,"February 21, 2025 - January 28, 2026"
Statement,Data,WhenGenerated,"2026-01-29, 13:15:16 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,CAESARIS DENARII LIMITED
Account Information,Data,Account Alias,Master
Account Information,Data,Account,U17419949
Account Information,Data,Accounts Included,"U17419949, U17419949F"
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,GBP
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,0,0.000043899,-0.004876883,-0.004832984,-0.004832984
Net Asset Value,Data,Interest Accruals,0,19.83,0,19.83,19.83
Net Asset Value,Data,Total,0,19.830043899,-0.004876883,19.825167016,19.825167016
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,28.528015695%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,0
Change in NAV,Data,Details not available,
Change in NAV,Data,Ending Value,19.825167016
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,AAPL,0,6.72606736,0,0,0,6.72606736,0,0,0,0,0,6.72606736,
Realized & Unrealized Performance Summary,Data,Stocks,ACHR,0,189916.926426535,-38656.512957999,0,0,151260.413468536,0,0,0,0,0,151260.413468536,
Realized & Unrealized Performance Summary,Data,Stocks,ACMR,0,0,-958.575985809,0,0,-958.575985809,0,0,0,0,0,-958.575985809,
Realized & Unrealized Performance Summary,Data,Stocks,AEO,0,493.227287931,-558.502891419,0,0,-65.275603488,0,0,0,0,0,-65.275603488,
Realized & Unrealized Performance Summary,Data,Stocks,AIRO,0,21104.218084308,0,0,0,21104.218084308,0,0,0,0,0,21104.218084308,
Realized & Unrealized Performance Summary,Data,Stocks,ALAB,0,101.905629061,0,0,0,101.905629061,0,0,0,0,0,101.905629061,
Realized & Unrealized Performance Summary,Data,Stocks,ALGN,0,298.448134751,-215.340788563,0,0,83.107346188,0,0,0,0,0,83.107346188,
Realized & Unrealized Performance Summary,Data,Stocks,AMAT,0,28.697335843,-24.650445977,0,0,4.046889866,0,0,0,0,0,4.046889866,
Realized & Unrealized Performance Summary,Data,Stocks,AMBQ,0,0,-434.213212334,0,0,-434.213212334,0,0,0,0,0,-434.213212334,
Realized & Unrealized Performance Summary,Data,Stocks,AMD,0,0,-828.571702941,0,0,-828.571702941,0,0,0,0,0,-828.571702941,
Realized & Unrealized Performance Summary,Data,Stocks,AMRZ,0,0,-57.31650715,0,0,-57.31650715,0,0,0,0,0,-57.31650715,
